Empresa,Unidad,Anio,Produccion
Chuquicamata,Miles TM,1972,265.5
Radomiro Tomic,Miles TM,1972,0.0
Ministro Hales,Miles TM,1972,0.0
Salvador,Miles TM,1972,82.9
Andina,Miles TM,1972,53.9
El Teniente,Miles TM,1972,190.3
Gaby,Miles TM,1972,0.0
Escondida,Miles TM,1972,0.0
Collahuasi,Miles TM,1972,0.0
Los Pelambres,Miles TM,1972,0.0
Anglo American Sur,Miles TM,1972,28.8
El Abra,Miles TM,1972,0.0
Candelaria,Miles TM,1972,0.0
Mantos Copper,Miles TM,1972,29.8
Zaldívar,Miles TM,1972,0.0
Cerro Colorado,Miles TM,1972,0.0
Centinela (Oxidos),Miles TM,1972,0.0
Quebrada Blanca,Miles TM,1972,0.0
Lomas Bayas,Miles TM,1972,0.0
Michilla,Miles TM,1972,0.0
Spence,Miles TM,1972,0.0
Centinela (Súlfuros),Miles TM,1972,0.0
Caserones,Miles TM,1972,0.0
Sierra Gorda,Miles TM,1972,0.0
Antucoya,Miles TM,1972,0.0
Andacollo,Miles TM,1972,0.0
Punta del Cobre,Miles TM,1972,0.0
Las Cenizas,Miles TM,1972,0.0
Chuquicamata,Miles TM,1973,297.1
Radomiro Tomic,Miles TM,1973,0.0
Ministro Hales,Miles TM,1973,0.0
Salvador,Miles TM,1973,84.0
Andina,Miles TM,1973,56.1
El Teniente,Miles TM,1973,178.1
Gaby,Miles TM,1973,0.0
Escondida,Miles TM,1973,0.0
Collahuasi,Miles TM,1973,0.0
Los Pelambres,Miles TM,1973,0.0
Anglo American Sur,Miles TM,1973,8.4
El Abra,Miles TM,1973,0.0
Candelaria,Miles TM,1973,0.0
Mantos Copper,Miles TM,1973,28.9
Zaldívar,Miles TM,1973,0.0
Cerro Colorado,Miles TM,1973,0.0
Centinela (Oxidos),Miles TM,1973,0.0
Quebrada Blanca,Miles TM,1973,0.0
Lomas Bayas,Miles TM,1973,0.0
Michilla,Miles TM,1973,0.0
Spence,Miles TM,1973,0.0
Centinela (Súlfuros),Miles TM,1973,0.0
Caserones,Miles TM,1973,0.0
Sierra Gorda,Miles TM,1973,0.0
Antucoya,Miles TM,1973,0.0
Andacollo,Miles TM,1973,0.0
Punta del Cobre,Miles TM,1973,0.0
Las Cenizas,Miles TM,1973,0.0
Chuquicamata,Miles TM,1974,389.0
Radomiro Tomic,Miles TM,1974,0.0
Ministro Hales,Miles TM,1974,0.0
Salvador,Miles TM,1974,80.0
Andina,Miles TM,1974,68.4
El Teniente,Miles TM,1974,225.5
Gaby,Miles TM,1974,0.0
Escondida,Miles TM,1974,0.0
Collahuasi,Miles TM,1974,0.0
Los Pelambres,Miles TM,1974,0.0
Anglo American Sur,Miles TM,1974,25.9
El Abra,Miles TM,1974,0.0
Candelaria,Miles TM,1974,0.0
Mantos Copper,Miles TM,1974,32.2
Zaldívar,Miles TM,1974,0.0
Cerro Colorado,Miles TM,1974,0.0
Centinela (Oxidos),Miles TM,1974,0.0
Quebrada Blanca,Miles TM,1974,0.0
Lomas Bayas,Miles TM,1974,0.0
Michilla,Miles TM,1974,0.0
Spence,Miles TM,1974,0.0
Centinela (Súlfuros),Miles TM,1974,0.0
Caserones,Miles TM,1974,0.0
Sierra Gorda,Miles TM,1974,0.0
Antucoya,Miles TM,1974,0.0
Andacollo,Miles TM,1974,0.0
Punta del Cobre,Miles TM,1974,0.0
Las Cenizas,Miles TM,1974,0.0
Chuquicamata,Miles TM,1975,304.6
Radomiro Tomic,Miles TM,1975,0.0
Ministro Hales,Miles TM,1975,0.0
Salvador,Miles TM,1975,81.3
Andina,Miles TM,1975,62.4
El Teniente,Miles TM,1975,234.0
Gaby,Miles TM,1975,0.0
Escondida,Miles TM,1975,0.0
Collahuasi,Miles TM,1975,0.0
Los Pelambres,Miles TM,1975,0.0
Anglo American Sur,Miles TM,1975,32.6
El Abra,Miles TM,1975,0.0
Candelaria,Miles TM,1975,0.0
Mantos Copper,Miles TM,1975,29.2
Zaldívar,Miles TM,1975,0.0
Cerro Colorado,Miles TM,1975,0.0
Centinela (Oxidos),Miles TM,1975,0.0
Quebrada Blanca,Miles TM,1975,0.0
Lomas Bayas,Miles TM,1975,0.0
Michilla,Miles TM,1975,0.0
Spence,Miles TM,1975,0.0
Centinela (Súlfuros),Miles TM,1975,0.0
Caserones,Miles TM,1975,0.0
Sierra Gorda,Miles TM,1975,0.0
Antucoya,Miles TM,1975,0.0
Andacollo,Miles TM,1975,0.0
Punta del Cobre,Miles TM,1975,0.0
Las Cenizas,Miles TM,1975,0.0
Chuquicamata,Miles TM,1976,445.5
Radomiro Tomic,Miles TM,1976,0.0
Ministro Hales,Miles TM,1976,0.0
Salvador,Miles TM,1976,82.7
Andina,Miles TM,1976,56.9
El Teniente,Miles TM,1976,261.7
Gaby,Miles TM,1976,0.0
Escondida,Miles TM,1976,0.0
Collahuasi,Miles TM,1976,0.0
Los Pelambres,Miles TM,1976,0.0
Anglo American Sur,Miles TM,1976,35.7
El Abra,Miles TM,1976,0.0
Candelaria,Miles TM,1976,0.0
Mantos Copper,Miles TM,1976,30.1
Zaldívar,Miles TM,1976,0.0
Cerro Colorado,Miles TM,1976,0.0
Centinela (Oxidos),Miles TM,1976,0.0
Quebrada Blanca,Miles TM,1976,0.0
Lomas Bayas,Miles TM,1976,0.0
Michilla,Miles TM,1976,0.0
Spence,Miles TM,1976,0.0
Centinela (Súlfuros),Miles TM,1976,0.0
Caserones,Miles TM,1976,0.0
Sierra Gorda,Miles TM,1976,0.0
Antucoya,Miles TM,1976,0.0
Andacollo,Miles TM,1976,0.0
Punta del Cobre,Miles TM,1976,0.0
Las Cenizas,Miles TM,1976,0.0
Chuquicamata,Miles TM,1977,477.8
Radomiro Tomic,Miles TM,1977,0.0
Ministro Hales,Miles TM,1977,0.0
