Mine,ForecastDate,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
escondida,2029-06-01,42,354.57951034857786,111.535,232.26951034857785,140.58751034857784,111.535,3,Colossal,2,LargeColossal
escondida,2029-12-01,48,470.38351034857783,111.535,219.80651034857783,142.36351034857785,111.535,3,Colossal,2,LargeColossal
escondida,2030-06-01,54,546.8315103485778,111.535,215.57851034857785,145.57051034857784,111.535,3,Colossal,2,LargeColossal
escondida,2030-12-01,60,528.5285103485778,111.535,209.50351034857783,150.08351034857785,111.535,3,Colossal,2,LargeColossal
escondida,2031-12-01,72,540.6485103485778,111.535,208.80051034857783,152.82251034857785,111.535,3,Colossal,2,LargeColossal
escondida,2032-12-01,84,521.2405103485778,111.535,212.60351034857783,152.09251034857783,111.535,3,Colossal,2,LargeColossal
franke,2026-01-01,1,0.5787841274580234,0.832,0.33678412745802355,0.5687841274580234,0.832,0,Small,0,SmallMed
franke,2026-03-01,3,0.8327841274580234,0.832,0.2507841274580235,0.6777841274580236,0.832,0,Small,0,SmallMed
franke,2026-06-01,6,0.21078412745802355,0.832,0.6047841274580235,0.46178412745802355,0.832,0,Small,0,SmallMed
franke,2026-09-01,9,1.4557841274580234,0.832,0.0287841274580235,0.8017841274580235,0.832,0,Small,0,SmallMed
franke,2026-12-01,12,0.09178412745802356,0.832,0.8307841274580234,0.44378412745802354,0.832,0,Small,0,SmallMed
franke,2027-06-01,18,0.10978412745802357,0.832,0.8787841274580235,0.44178412745802353,0.832,0,Small,0,SmallMed
franke,2027-12-01,24,0.0007841274580235313,0.832,0.9187841274580235,0.4157841274580235,0.832,0,Small,0,SmallMed
franke,2028-06-01,30,0.056784127458023526,0.832,1.2937841274580235,0.4107841274580235,0.832,0,Small,0,SmallMed
franke,2028-12-01,36,0.012784127458023542,0.832,1.2127841274580236,0.4107841274580235,0.832,0,Small,0,SmallMed
franke,2029-06-01,42,0.032784127458023504,0.832,1.3507841274580235,0.3957841274580235,0.832,0,Small,0,SmallMed
franke,2029-12-01,48,0.0,0.832,1.3067841274580236,0.4147841274580235,0.832,0,Small,0,SmallMed
franke,2030-06-01,54,0.0,0.832,1.4287841274580235,0.4127841274580235,0.832,0,Small,0,SmallMed
franke,2030-12-01,60,0.0,0.832,1.6367841274580235,0.3967841274580235,0.832,0,Small,0,SmallMed
franke,2031-12-01,72,0.0,0.832,1.3537841274580236,0.3607841274580236,0.832,0,Small,0,SmallMed
franke,2032-12-01,84,0.0,0.832,1.4567841274580235,0.3617841274580236,0.832,0,Small,0,SmallMed
gabriela mistral,2026-01-01,1,6.374687864244526,8.049,5.835687864244527,8.388687864244526,8.049,1,Medium,2,SmallMed
