ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB,ARIMA,0.5,0.9,0.7,0.3,20.79,21.43,62.5,62.8,23,LGB+ARIMA SM=0.5/0.9 LC=0.3
LGB,ARIMA,0.5,0.9,0.7,0.4,20.74,21.56,62.6,63.4,23,LGB+ARIMA SM=0.5/0.9 LC=0.4
LGB,ARIMA,0.5,0.9,0.7,0.5,20.78,20.96,62.5,63.6,23,LGB+ARIMA SM=0.5/0.9 LC=0.5
LGB,ARIMA,0.5,0.9,0.7,0.6,20.87,19.91,61.7,62.1,22,LGB+ARIMA SM=0.5/0.9 LC=0.6
LGB,ARIMA,0.5,0.9,0.7,0.7,21.0,18.54,60.9,61.5,22,LGB+ARIMA SM=0.5/0.9 LC=0.7
LGB,ARIMA,0.5,1.0,0.75,0.2,21.04,20.46,62.3,61.3,24,LGB+ARIMA SM=0.5/1.0 LC=0.2
LGB,ARIMA,0.5,1.0,0.75,0.3,20.92,21.05,61.9,61.1,23,LGB+ARIMA SM=0.5/1.0 LC=0.3
LGB,ARIMA,0.5,1.0,0.75,0.4,20.87,21.17,62.0,61.7,23,LGB+ARIMA SM=0.5/1.0 LC=0.4
LGB,ARIMA,0.5,1.0,0.75,0.5,20.91,20.57,61.9,61.9,23,LGB+ARIMA SM=0.5/1.0 LC=0.5
LGB,ARIMA,0.5,1.0,0.75,0.6,21.0,19.52,61.1,60.5,22,LGB+ARIMA SM=0.5/1.0 LC=0.6
LGB,ARIMA,0.5,1.0,0.75,0.7,21.13,18.16,60.3,59.9,22,LGB+ARIMA SM=0.5/1.0 LC=0.7
LGB,ARIMA,0.6,0.5,0.55,0.2,21.15,21.26,63.3,65.0,25,LGB+ARIMA SM=0.6/0.5 LC=0.2
LGB,ARIMA,0.6,0.5,0.55,0.3,21.03,21.85,62.9,64.8,24,LGB+ARIMA SM=0.6/0.5 LC=0.3
LGB,ARIMA,0.6,0.5,0.55,0.4,20.98,21.97,62.9,65.4,24,LGB+ARIMA SM=0.6/0.5 LC=0.4
LGB,ARIMA,0.6,0.5,0.55,0.5,21.01,21.37,62.9,65.6,24,LGB+ARIMA SM=0.6/0.5 LC=0.5
LGB,ARIMA,0.6,0.5,0.55,0.6,21.11,20.32,62.0,64.2,23,LGB+ARIMA SM=0.6/0.5 LC=0.6
LGB,ARIMA,0.6,0.5,0.55,0.7,21.24,18.95,61.3,63.6,22,LGB+ARIMA SM=0.6/0.5 LC=0.7
LGB,ARIMA,0.6,0.6,0.6,0.2,21.01,21.31,63.2,64.6,25,LGB+ARIMA SM=0.6/0.6 LC=0.2
LGB,ARIMA,0.6,0.6,0.6,0.3,20.89,21.9,62.8,64.4,24,LGB+ARIMA SM=0.6/0.6 LC=0.3
LGB,ARIMA,0.6,0.6,0.6,0.4,20.84,22.02,62.9,65.0,24,LGB+ARIMA SM=0.6/0.6 LC=0.4
LGB,ARIMA,0.6,0.6,0.6,0.5,20.87,21.42,62.8,65.2,24,LGB+ARIMA SM=0.6/0.6 LC=0.5
LGB,ARIMA,0.6,0.6,0.6,0.6,20.97,20.37,62.0,63.8,23,LGB+ARIMA SM=0.6/0.6 LC=0.6
LGB,ARIMA,0.6,0.6,0.6,0.7,21.1,19.0,61.2,63.2,22,LGB+ARIMA SM=0.6/0.6 LC=0.7
LGB,ARIMA,0.6,0.7,0.65,0.2,20.93,21.26,62.7,63.4,25,LGB+ARIMA SM=0.6/0.7 LC=0.2
LGB,ARIMA,0.6,0.7,0.65,0.3,20.81,21.84,62.2,63.2,24,LGB+ARIMA SM=0.6/0.7 LC=0.3
LGB,ARIMA,0.6,0.7,0.65,0.4,20.76,21.97,62.3,63.8,24,LGB+ARIMA SM=0.6/0.7 LC=0.4
LGB,ARIMA,0.6,0.7,0.65,0.5,20.79,21.37,62.2,64.0,24,LGB+ARIMA SM=0.6/0.7 LC=0.5
LGB,ARIMA,0.6,0.7,0.65,0.6,20.89,20.32,61.4,62.6,23,LGB+ARIMA SM=0.6/0.7 LC=0.6
LGB,ARIMA,0.6,0.7,0.65,0.7,21.01,18.95,60.7,61.9,22,LGB+ARIMA SM=0.6/0.7 LC=0.7
LGB,ARIMA,0.6,0.8,0.7,0.2,20.9,21.08,62.6,63.4,25,LGB+ARIMA SM=0.6/0.8 LC=0.2
LGB,ARIMA,0.6,0.8,0.7,0.3,20.78,21.67,62.2,63.2,24,LGB+ARIMA SM=0.6/0.8 LC=0.3
LGB,ARIMA,0.6,0.8,0.7,0.4,20.73,21.8,62.2,63.8,24,LGB+ARIMA SM=0.6/0.8 LC=0.4
LGB,ARIMA,0.6,0.8,0.7,0.5,20.77,21.2,62.2,64.0,24,LGB+ARIMA SM=0.6/0.8 LC=0.5
LGB,ARIMA,0.6,0.8,0.7,0.6,20.86,20.15,61.3,62.6,23,LGB+ARIMA SM=0.6/0.8 LC=0.6
LGB,ARIMA,0.6,0.8,0.7,0.7,20.99,18.78,60.6,61.9,23,LGB+ARIMA SM=0.6/0.8 LC=0.7
