Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-01-01,42,cerro colorado,SM,4.555,5.835120743453224,5.4
2018-01-01,42,chuquicamata,LC,13.678,22.560457160065425,15.228
2018-01-01,42,collahuasi,LC,54.03,48.227053914748744,44.4
2018-01-01,42,el abra,SM,5.504,6.784125084137522,6.9
2018-01-01,42,el soldado,SM,4.427,3.9622560296907503,3.6
2018-01-01,42,el teniente,LC,41.2,31.731993806616043,36.6
2018-01-01,42,escondida,LC,86.258,100.0748235352418,77.1
2018-01-01,42,franke,SM,0.887,1.0584016656448172,1.7
2018-01-01,42,gabriela mistral,LC,10.068,8.52785358677655,7.2
2018-01-01,42,lomas bayas,SM,5.5,5.780505146166495,7.2
2018-01-01,42,los bronces,LC,26.301,20.49369663672268,20.858
2018-01-01,42,los pelambres,LC,27.911,26.92764186399257,28.1
2018-01-01,42,mantos blancos,SM,4.27,3.477505778017187,3.569
2018-01-01,42,mantoverde,SM,4.3,4.617531713013649,3.065
2018-01-01,42,ministro hales,LC,16.5,11.502148021706653,23.8
2018-01-01,42,ojos del salado,SM,2.121,1.9691404885583794,2.1
2018-01-01,42,otros,LC,10.465720999999998,10.68932598405344,11.749
2018-01-01,42,radomiro tomic,LC,23.227,20.71885621452052,25.704
2018-01-01,42,salvador,SM,3.862,5.150642434824116,4.3
2018-01-01,42,sierra gorda,SM,17.394,11.725791943630524,7.8
2018-01-01,42,zaldivar,SM,6.879,6.39153683285017,8.7
2018-01-01,48,andacollo,SM,3.061,3.8591732749262246,8.4
2018-01-01,48,andina,LC,18.84,14.7451296095922,19.5
2018-01-01,48,antucoya,SM,6.486,6.923180132997965,6.7
2018-01-01,48,atacama kozan,SM,0.886,1.0935612150566234,1.0
2018-01-01,48,candelaria,LC,12.325,9.902518549280451,9.4
2018-01-01,48,caserones,LC,12.422,11.112077898069833,13.0
2018-01-01,48,centinela_oxidos,SM,7.583,7.300865080141708,5.3
2018-01-01,48,centinela_sulfuros,LC,12.413,10.439697037469681,16.4
2018-01-01,48,cerro colorado,SM,3.933,5.835120743453224,5.4
2018-01-01,48,chuquicamata,LC,16.401,21.945767794370965,15.228
2018-01-01,48,collahuasi,LC,51.336,47.05289179474319,44.4
2018-01-01,48,el abra,SM,5.718,6.9610124654047985,6.9
2018-01-01,48,el soldado,SM,2.894,3.991288215446209,3.6
2018-01-01,48,el teniente,LC,34.199,30.80743575476903,36.6
2018-01-01,48,escondida,LC,81.0,102.36975344192895,77.1
2018-01-01,48,franke,SM,0.864,1.0614082136335423,1.7
2018-01-01,48,gabriela mistral,LC,10.29,8.428720847228831,7.2
2018-01-01,48,lomas bayas,SM,6.004,5.777618342353904,7.2
2018-01-01,48,los bronces,LC,20.04,19.891362621854533,20.858
2018-01-01,48,los pelambres,LC,18.115,27.033219514892384,28.1
2018-01-01,48,mantos blancos,SM,3.453,3.508127859511476,3.569
2018-01-01,48,mantoverde,SM,4.106,4.779640067953608,3.065
2018-01-01,48,ministro hales,LC,11.635,11.038834641122014,23.8
2018-01-01,48,ojos del salado,SM,2.323,1.913972606363906,2.1
2018-01-01,48,otros,LC,11.546456999999998,10.498440082179352,11.749
2018-01-01,48,radomiro tomic,LC,20.479,20.73125010372676,25.704
2018-01-01,48,salvador,SM,1.607,5.150642434824116,4.3
2018-01-01,48,sierra gorda,SM,14.5,11.463947992277818,7.8
2018-01-01,48,zaldivar,SM,8.261,6.264102256496463,8.7
2018-01-01,54,andacollo,SM,2.221,3.9010201592483598,8.4
2018-01-01,54,andina,LC,17.03,14.640776870970798,19.5
2018-01-01,54,antucoya,SM,6.861993,7.006051467952344,6.7
2018-01-01,54,atacama kozan,SM,1.2634086232,1.084205140768645,1.0
2018-01-01,54,candelaria,LC,10.720994127971508,10.079879761775558,9.4
2018-01-01,54,caserones,LC,4.999,11.062476947605202,13.0
2018-01-01,54,centinela_oxidos,SM,8.488439999999999,7.239735989294625,5.3
2018-01-01,54,centinela_sulfuros,LC,12.22597924234586,10.098318538950435,16.4
2018-01-01,54,cerro colorado,SM,3.598,5.835120743453224,5.4
2018-01-01,54,chuquicamata,LC,25.555,21.73543560674145,15.228
2018-01-01,54,collahuasi,LC,47.262,46.12337124156652,44.4
2018-01-01,54,el abra,SM,9.284,7.143827101258429,6.9
2018-01-01,54,el soldado,SM,2.57,4.020331628437597,3.6
2018-01-01,54,el teniente,LC,28.068,29.88983224863509,36.6
2018-01-01,54,escondida,LC,81.399,104.73905200907024,77.1
2018-01-01,54,franke,SM,0.760445,1.0644344727314023,1.7
2018-01-01,54,gabriela mistral,LC,9.132,8.355724090032712,7.2
2018-01-01,54,lomas bayas,SM,6.064031,5.7751307116048975,7.2
2018-01-01,54,los bronces,LC,16.49,19.289685672006595,20.858
2018-01-01,54,los pelambres,LC,23.391121186549768,27.13843081856955,28.1
2018-01-01,54,mantos blancos,SM,4.136,3.627472255605184,3.569
2018-01-01,54,mantoverde,SM,4.103,4.941693448167305,3.065
2018-01-01,54,ministro hales,LC,13.17,10.577640171716487,23.8
2018-01-01,54,ojos del salado,SM,1.858,1.8385414823942654,2.1
2018-01-01,54,otros,LC,10.002399353990002,10.306146244858411,11.749
2018-01-01,54,radomiro tomic,LC,25.265,20.743643992933002,25.704
2018-01-01,54,salvador,SM,1.423,5.150642434824116,4.3
2018-01-01,54,sierra gorda,SM,13.05851625126102,11.20210304588598,7.8
2018-01-01,54,zaldivar,SM,7.44,6.1366676801427555,8.7
2018-01-01,60,andacollo,SM,3.161,3.942979568844913,8.4
2018-01-01,60,andina,LC,15.112,14.536424169565521,19.5
2018-01-01,60,antucoya,SM,7.046,7.0889228029067235,6.7
2018-01-01,60,atacama kozan,SM,0.793,1.0748492526790354,1.0
2018-01-01,60,candelaria,LC,11.93,10.258779859227293,9.4
2018-01-01,60,caserones,LC,11.351,11.005441467263596,13.0
2018-01-01,60,centinela_oxidos,SM,7.836679,7.178544430910717,5.3
2018-01-01,60,centinela_sulfuros,LC,9.888067271067618,9.756940040478892,16.4
2018-01-01,60,cerro colorado,SM,3.581,5.835120743453224,5.4
2018-01-01,60,chuquicamata,LC,23.479,21.172609430888002,15.228
2018-01-01,60,collahuasi,LC,42.903,45.004345235905454,44.4
2018-01-01,60,el abra,SM,8.718,7.3231230646679375,6.9
2018-01-01,60,el soldado,SM,4.074,4.0493718609907035,3.6
2018-01-01,60,el teniente,LC,32.758,28.97276550586225,36.6
