Mine,Origin,Segment,LGB_bc,RF_bc,XGB_bc,ARIMA,SARIMAX,RollingMean,Naive,H_norm
el abra,2019-07-01,SM,0.0048230565789422735,0.028827250241842028,-0.18583017179430633,0.033479094580654636,-0.20348465587413533,-0.042960275380281236,-0.049759752826938466,0.5139155319158625
el abra,2020-01-01,SM,-0.0075367859813057665,0.06675153614824178,-0.1702374813200549,0.011283746182991551,-0.20608045657925703,-0.03757984111596756,-0.06044074721839408,0.44253846490814497
el abra,2020-07-01,SM,-0.012241369009012978,0.06033457133216674,-0.19496874232431574,-0.03410035003507315,-0.2044204189154448,0.016774253584479475,-0.08927546263731058,0.49767032508368825
el abra,2020-10-01,SM,-0.007736586083434676,0.03922725037378008,-0.18956147639320253,0.018606837376392737,-0.1562951258203378,-0.020348302635303947,-0.10726069875290786,0.5556510438159645
el abra,2021-04-01,SM,0.03321298837018155,0.114893601786904,-0.2015116169219814,0.020610954625237106,-0.2355050425849668,0.007183770994739159,-0.016890920368777085,0.5689156819217619
el soldado,2018-01-01,SM,-0.0006649637125937724,-0.04064812003847726,-0.032409132561314835,0.022842515993142586,0.04084432497777427,-0.09626723297190282,0.009786750076108177,0.08527913244041647
el soldado,2018-07-01,SM,-0.03029219391990123,-0.07789005590640072,0.0025133144239117863,0.04123987937262055,0.03869251560526441,-0.10577500469470234,0.010962990775565333,0.07888725295586602
el soldado,2019-01-01,SM,-0.0297475098869783,-0.007889131244926833,-0.08529158506315059,0.03180846758026882,-0.004242669844847371,-0.1282728348718164,0.0438034391816759,0.03472446670764561
el soldado,2019-07-01,SM,-0.012646797462683523,-0.031027373163749202,-0.010579517075514716,0.040681296283022736,0.030962356987264416,-0.11918328901920751,0.017428282584616386,0.05486629417397835
el soldado,2020-01-01,SM,-0.003944653303188657,-0.040439302461326335,-0.022545871646610424,0.030331879737815697,0.029246518201826208,-0.11911501384894696,0.007484078042793541,0.05730045788441519
el soldado,2020-07-01,SM,-0.01016597849790519,-0.04316863994119224,-0.02263094521720033,0.06903526736387237,0.034047192032444176,-0.1252673750723503,-0.005808578750127349,0.04282492358152243
el soldado,2020-10-01,SM,-0.01024885607350488,-0.028189604634022154,-0.03806450716608052,0.039237121927465334,0.055421040143594884,-0.11993664198730578,0.012413860856765765,0.09410722279515421
el soldado,2021-04-01,SM,0.010804980954933362,-0.019678055009439373,-0.033635949740960604,0.01259946318849968,0.0029855661703228516,-0.06938231673175937,-0.027199694331569085,0.06247827933999963
el teniente,2018-01-01,LC,0.2713426744525975,-0.0009669629403361434,-0.013664578677387336,0.17901581353539195,0.645029138828761,0.6086399929968799,0.6055995067399533,-2.6962719793374306
el teniente,2018-07-01,LC,0.3633380675947375,0.0657056439960495,0.18381533817613493,0.03192975051684198,0.6765824921675837,0.8896784482471207,0.5931029686533994,-2.593691796446308
el teniente,2019-01-01,LC,0.37563986884383715,0.1804520578207193,0.18260407150558527,0.09200483672036427,0.49502770839639376,0.649285438640732,0.5278568134355264,-2.4280177676679964
