ID_SUBEST,NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
2282,S/E CENTRAL CERRO TIGRE,AR CERRO TIGRE SPA,220,DEDICADO,2014-04-12,-23.76104429899993,-69.91936237799996
1836,S/E CENTRAL SOLAR PAS2,POZO ALMONTE SOLAR 2 S.A.,<66,DEDICADO,2014-04-12,-20.27171200099997,-69.75601299999994
2150,S/E LOS TILOS BULNES,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,66,ZONAL,2014-04-12,-36.87806116599995,-72.21686876499996
301,S/E TOTORALILLO,ALFA TRANSMISORA DE ENERGÍA S.A.,110,DEDICADO,2014-04-12,-32.85396500099995,-70.50574299999994
801,S/E SAN RAFAEL (CHILQUINTA),CHILQUINTA TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-32.824195000999964,-70.61279999999994
2306,S/E RIO ACONCAGUA,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-32.82093496099998,-70.98821436999998
624,S/E TIERRA AMARILLA,CGE TRANSMISIÓN S.A.,110,DEDICADO,2014-04-12,-27.480116000999946,-70.29300099999995
1724,TAP OFF CHAÑARES,ENEL GREEN POWER CHILE S.A.,110,DEDICADO,2014-04-12,-26.40480800099993,-70.08280899999994
1859,S/E CONDORES,EMPRESA DE TRANSMISIÓN ELÉCTRICA TRANSEMEL S.A.,220,NACIONAL,2014-04-12,-20.248325870999963,-70.07941080999996
221,S/E CANDELARIA,ALFA TRANSMISORA DE ENERGÍA S.A.,220,NACIONAL,2014-04-12,-34.03388700099998,-70.61166499999996
244,S/E CENTRAL BOCAMINA I,ENEL GENERACIÓN CHILE S.A.,220,DEDICADO,2014-04-12,-37.021304000999976,-73.16763499999996
706,S/E MALLOCO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.60955100099994,-70.85821199999998
1809,S/E A,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110,DEDICADO,2014-04-12,-22.306187000999955,-68.91815199999996
2296,ISLA CAGUACH,SAGESA,23,NO APLICA,2014-12-04,-42.47480700099993,-73.25968099999994
906,S/E EM N°2,CODELCO CHILE - DIVISIÓN ANDINA,66,DEDICADO,2014-04-12,-33.15156700099993,-70.24877299999997
1052,S/E TAP OFF LA LAJA,AES ANDES S.A.,110,DEDICADO,2014-04-12,-33.58077309899994,-70.42043203399999
1122,S/E CODELCO VENTANAS 2,CODELCO CHILE - DIVISIÓN VENTANAS,110,ZONAL,2014-04-12,-32.76010500099994,-71.48418099999998
