name,longitude,latitude
Est LANALHUE,-73.28584737835574,-37.90650573716987
Est HUILQUEHUE,-73.35382372665008,-37.89252283172227
Est PELECO,-73.37771416769813,-37.87420754262496
Est CAÑETE,-73.40888168967352,-37.80672200620522
Est LICAUQUEN,-73.43778672485769,-37.75002719699922
Est ANTIHUALA,-73.39436496262152,-37.67497888323223
Est TRES PINOS,-73.40963731508836,-37.62962082057774
Est LOS ALAMOS,-73.46162875392068,-37.62610312170754
Est PEHUEN,-73.54050099635687,-37.66867080560855
Est SANTA ROSA,-73.58568475105542,-37.64922352446796
Est TRIANGULO,-73.61882310785052,-37.64671287195723
Est LEBU,-73.64877939636807,-37.61034911286264
Est SABOYA,-72.80417339897217,-38.00675165655147
Est CENTENARIO,-72.85328679360978,-38.06839930156521
Est LUMACO,-72.89375290617204,-38.16042465823726
Est CAPITÁN PASTENE,-72.98638689908815,-38.19111370469961
Est SANTA ROSA,-72.76916424088924,-38.07310797209279
Est QUILQUEN,-72.70983640157337,-38.11050293351452
Est TRIGAL,-72.70430673285787,-38.18395477366098
Est MININCO,-72.4749156760842,-37.79559221480065
Est LOLENCO,-72.45589941635008,-37.87857129493622
Est COLLIPULLI,-72.44474441202705,-37.95324910499033
Est PIDIMA,-72.42688272029437,-38.01230148727532
Est ERCILLA,-72.37693152595267,-38.05488535066674
Est PAILAHUEQUE,-72.3176428141312,-38.13092242036628
Est INSPECTOR FERNÁNDEZ,-72.31230321183003,-38.19639160420525
Est VICTORIA,-72.3331265357605,-38.23714455577082
Est PÚA,-72.3745287464327,-38.33575787398254
Est QUINO,-72.50382145578872,-38.34104913145379
Est CHUFQUÉN,-72.64798350826004,-38.36517000261905
Est GALVARINO,-72.7723001695705,-38.41508984076879
Est TRICAUCO,-72.58484503008903,-38.28448509195449
Est TRAIGUÉN,-72.67042100481834,-38.24499792218743
Est CULLINCO,-72.27075277750498,-38.36486207648891
Est SELVA OSCURA,-72.16738019104112,-38.3705394956629
Est CAUTÍN,-72.09121376763868,-38.41001363476897
Est RARIRRUCA,-72.01185098894187,-38.42701898078907
Est CURACAUTÍN,-71.89355331142157,-38.43548809992577
Est MANZANAR,-71.69548709792404,-38.46652713571896
Est MALALCAHUELLO,-71.57416873079889,-38.47202840185136
Est SIERRA NEVADA,-71.4734578368303,-38.5636750149713
Est LONQUIMAY,-71.3514942648746,-38.46415207741835
Est PERQUENCO,-72.37438603943905,-38.419471134281
Est QUÍLLEM,-72.3867437917482,-38.46555231338498
Est LAUTARO,-72.4320890091721,-38.52536566946257
Est PILLANLELBÚN,-72.45396269199432,-38.63576810711489
Est CAJÓN,-72.50460878978178,-38.67572206750296
Est GRAL LOPEZ,-72.36247260112386,-38.68997411335686
Est VILCUN,-72.23062446650107,-38.6689405172345
Est SAN PATRICIO,-72.11566110871169,-38.6612845685005
Est CHERQUENCO,-72.00463812760577,-38.68560049498799
Est TEMUCO,-72.57869995763629,-38.73653259390585
Est LABRANZA (Cotrolhue),-72.75003885986983,-38.76148073733625
Est BOROA,-72.84494234620767,-38.76574384875946
Est NUEVA IMPERIAL,-72.9542699269661,-38.74128023523534
Est RANQUILCO,-73.05037912512034,-38.71752298414857
Est CARAHUE,-73.16956972880959,-38.71432736425651
Est PADRE LAS CASAS,-72.59122033597211,-38.75449038682936
Est METRENCO,-72.62285971348878,-38.82978845662611
Est QUEPE,-72.61643564640129,-38.86905760459949
Est FREIRE,-72.628692545903,-38.94787800319122
Est MARTINEZ DE ROZAS,-72.7835949656754,-38.97714293017268
Est BARROS ARANA,-72.92186925363056,-38.98769314572423
Est TEODORO SCHMIDT,-73.09027166739452,-38.99751171734723
Est HUALPÍN,-73.18075668106614,-39.0905077278203
Est TOLTÉN,-73.21441349362465,-39.19776205347849
Est ALLIPÉN,-72.4941702080247,-38.99083269456693
Est RADAL,-72.39134869530946,-38.98720450434545
Est CHOROICO,-72.29683741851265,-38.99842574995861
Est LOS LAURELES,-72.24921343823964,-38.98685474548934
Est LAS HORTENSIAS,-72.15586704640863,-38.94267808569509
Est CUNCO,-72.02906003494844,-38.93108307591302
Est PITRUFQUÉN,-72.64247492292195,-38.98452999012696
Est GORBEA,-72.67307066439082,-39.10407761896743
Est QUITRATÚE,-72.66191914186143,-39.1556081053032
Est LASTARRIA,-72.67688033092264,-39.2358172504435
Est AFQUINTÚE,-72.60357912545857,-39.30548497328782
Est LONCOCHE,-72.63712771239585,-39.37024499285639
Est ANCAHUAL,-72.52729318145828,-39.34018169985233
Est HUISCAPI,-72.4037372215414,-39.29666166842149
Est ÑANCUL,-72.30404604525677,-39.28435390955424
Est VILLARRICA,-72.23132904644967,-39.29157269906523
Est LA PAZ,-72.71128452476907,-39.41339684756213
Est LANCO,-72.77976448676243,-39.45101856272223
Est PURULÓN,-72.67189629708285,-39.49104221591035
Est AYLÍN,-72.58885672161392,-39.5197046288995
Est MALALHUE,-72.51123402840238,-39.5435835146219
Est MELEFQUÉN,-72.44043146943916,-39.57580325872639
Est CALAFQUÉN (Huellahue),-72.36657106328015,-39.60592463026225
Est PANGUIPULLI,-72.33686968509589,-39.64390390928616
Est CIRUELOS,-72.8619044544815,-39.54257092338325
Est MARIQUINA,-72.9327925693149,-39.56610339974132
Est MÁFIL,-72.9500120925959,-39.6654724966056
Est MULPÚN,-72.94862495207569,-39.7770929735133
Est ANTILHUE,-72.9577967554743,-39.80583804430049
Est PISHUINCO,-73.05881757369583,-39.80565571736662
Est HUELLELHUE,-73.11993810210306,-39.79185331314466
Est VALDIVIA,-73.22372633380135,-39.82469276945044
Est PUREY,-72.86947286113882,-39.81844539225357
Est LOS LAGOS,-72.81752965311561,-39.86340675930485
Est COCHUÍ,-72.72197411651742,-39.87526933508605
Est FOLILCO,-72.66749809142554,-39.87142535347606
Est HUIDIF,-72.55184527107554,-39.82205922025437
Est RIÑIHUE,-72.43952844636023,-39.82521409706353
