NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
CODELCO VENTANAS 1 - CODELCO VENTANAS 2 110KV,CODELCO CHILE - DIVISIÓN VENTANAS,110.0,ZONAL,2019-04-26,-32.763224076909786,-71.48486040002071
SAUZAL - ALTO JAHUEL 110KV,TRANSELEC S.A.,110.0,ZONAL,2019-04-26,-33.98788573577929,-70.67198092250678
SAN PEDRO - PEÑABLANCA 110KV,CHILQUINTA TRANSMISIÓN S.A.,110.0,ZONAL,2021-09-10,-32.984310182930656,-71.31378970048289
CHUQUICAMATA - 10 100KV,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110.0,DEDICADO,2019-04-26,-22.306950431477368,-68.90437689713072
SAN PEDRO - QUILLOTA 110KV,COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.,110.0,ZONAL,2017-12-20,-32.944851458712336,-71.25866716635764
TAP OFF QUILPUE - QUILPUE 110KV,CHILQUINTA TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-33.023681940342854,-71.42742153931351
NUEVA CARDONES - NUEVA MAITENCILLO 500KV,INTERCHILE S.A.,500.0,NACIONAL,2019-04-26,-28.0822111516655,-70.64908219090101
MEJILLONES - EL LINCE 110KV,MINERA HMC S.A.,110.0,DEDICADO,2019-04-26,-22.966403547504434,-70.23490297240048
CACHAPOAL - MACHALI 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-34.20144233342931,-70.71043104173664
TAP LO ESPEJO - LO ESPEJO 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2023-04-10,-33.50967352199996,-70.68470059449996
LLANTA - SALVADOR 110KV,CODELCO CHILE - DIVISIÓN EL SALVADOR,110.0,DEDICADO,2019-04-26,-26.307695973654727,-69.70173728347605
CANUTILLAR - PUERTO MONTT 220KV,TRANSELEC S.A.,220.0,DEDICADO,2019-04-26,-41.46233758157348,-72.64367122029107
LOS QUILOS - ACONCAGUA 66KV,ALFA TRANSMISORA DE ENERGÍA S.A.,66.0,DEDICADO,2019-04-25,-32.9010840514223,-70.3685153806617
EL PEÑON - MINERA TECK CDA 110KV,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-30.210700471006906,-71.15189608306044
PUNTA COLORADA - DON HECTOR 220KV,TRANSELEC S.A.,220.0,NACIONAL,2023-04-10,-29.23368625157794,-71.00823696733742
OASIS - TAP OASIS 220KV,ENGIE ENERGÍA CHILE S.A.,220.0,DEDICADO,2023-04-10,-22.48538646480518,-68.80987994152346
LOS NOTROS - RALCO 220KV,TRANSELEC S.A.,220.0,DEDICADO,2019-04-26,-37.86355861045652,-71.67287943621902
TAP LAJUELAS - SANTA ELISA 33KV,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,33.0,ZONAL,2017-12-20,-36.63497686139582,-72.15729028719943
A3_CENTRAL SAN FRANCISCO MOSTAZAL - SAN FRANCISCO MOSTAZAL,S/I,66.0,ZONAL,2019-04-26,-33.98214294150278,-70.70029441643858
ALTO JAHUEL - MAIPO 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2019-04-26,-33.71484658515876,-70.69252797942927
LOS MAITENES - SAN FRANCISCO 66KV,ANGLO AMERICAN LOS BRONCES,66.0,DEDICADO,2017-12-20,-33.23914279677438,-70.34297375096801
PAJONALES - TAP PAJONALES 110KV,EUROPEAN SOUTHERN OBSERVATORY,110.0,DEDICADO,2023-04-10,-29.156127862499943,-70.92033182749998
ANCUD - CHILOE 110KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,110.0,ZONAL,2019-04-26,-42.011678356441166,-73.78773346403858
ENTRE RIOS - ANCOA 500KV,TRANSELEC S.A.,500.0,NACIONAL,2019-04-26,-36.32323063595054,-71.78992756653315
LABERINTO - NUEVA ZALDIVAR 220KV L1,MINERA ESCONDIDA LTDA.,220.0,NACIONAL,2019-04-26,-23.813756569113853,-69.2678790120769
LAGUNAS - GRANJA SOLAR 220KV,MARÍA ELENA SOLAR S.A.,220.0,DEDICADO,2021-09-20,-20.830454990090416,-69.58695753971973
TAP VITOR N°2 - CENTRAL PAMPA CAMARONES 23KV,ENGIE ENERGÍA CHILE S.A.,23.0,DEDICADO,2021-09-20,-18.90795458774259,-70.1418808819625
FRUTILLAR NORTE - TINEO 220 KV,TRANSELEC S.A.,220.0,NACIONAL,2023-04-10,-41.16238392449272,-73.13375922306133
