Mine,ForecastYear,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
el soldado,2031,6,41.49062221635954,42.604,33.697622216359534,47.72362221635953,42.604,1,Medium,1,SmallMed
el soldado,2032,7,31.325622216359534,42.604,21.845622216359537,46.30762221635953,42.604,1,Medium,1,SmallMed
el teniente,2026,1,267.0106977691585,310.146,277.03869776915855,312.11569776915854,310.146,3,Colossal,2,LargeColossal
el teniente,2027,2,266.5906977691585,310.146,264.21469776915853,319.76469776915854,310.146,3,Colossal,2,LargeColossal
el teniente,2028,3,259.4266977691585,310.146,276.49269776915855,323.64469776915854,310.146,3,Colossal,2,LargeColossal
el teniente,2029,4,243.63069776915853,310.146,258.80269776915856,325.36869776915853,310.146,3,Colossal,2,LargeColossal
el teniente,2030,5,239.59569776915853,310.146,256.16369776915855,326.65669776915854,310.146,3,Colossal,2,LargeColossal
el teniente,2031,6,239.86769776915853,310.146,255.21369776915856,326.93769776915855,310.146,3,Colossal,2,LargeColossal
el teniente,2032,7,238.80069776915855,310.146,253.86669776915852,328.8646977691585,310.146,3,Colossal,2,LargeColossal
escondida,2026,1,1283.3382221747258,1345.132,1152.1352221747259,1370.0712221747258,1345.132,3,Colossal,2,LargeColossal
escondida,2027,2,1259.9582221747257,1345.132,1112.5692221747258,1355.9942221747258,1345.132,3,Colossal,2,LargeColossal
escondida,2028,3,1253.5312221747258,1345.132,1068.2672221747257,1331.3032221747258,1345.132,3,Colossal,2,LargeColossal
escondida,2029,4,1254.2052221747258,1345.132,999.1822221747258,1312.1452221747259,1345.132,3,Colossal,2,LargeColossal
escondida,2030,5,1217.0112221747258,1345.132,987.3112221747258,1273.2082221747257,1345.132,3,Colossal,2,LargeColossal
escondida,2031,6,1153.6872221747258,1345.132,947.1742221747259,1261.0722221747258,1345.132,3,Colossal,2,LargeColossal
escondida,2032,7,1101.8672221747258,1345.132,924.7332221747258,1261.3112221747258,1345.132,3,Colossal,2,LargeColossal
franke,2026,1,4.733869705366269,10.894,4.797869705366269,7.648869705366268,10.894,0,Small,1,SmallMed
franke,2027,2,2.686869705366268,10.894,1.3908697053662675,7.545869705366268,10.894,0,Small,1,SmallMed
franke,2028,3,0.36586970536626806,10.894,0.0,7.455869705366268,10.894,0,Small,1,SmallMed
franke,2029,4,0.0,10.894,0.0,7.102869705366269,10.894,0,Small,1,SmallMed
franke,2030,5,0.1738697053662679,10.894,0.0,6.117869705366269,10.894,0,Small,1,SmallMed
franke,2031,6,1.1538697053662683,10.894,0.0,5.360869705366268,10.894,0,Small,1,SmallMed
franke,2032,7,1.2668697053662679,10.894,0.0,5.316869705366269,10.894,0,Small,1,SmallMed
gabriela mistral,2026,1,77.42356274778817,81.664,67.20956274778817,98.13656274778818,81.664,2,Large,2,LargeColossal
gabriela mistral,2027,2,73.18156274778818,81.664,64.78556274778818,98.40856274778817,81.664,2,Large,2,LargeColossal
gabriela mistral,2028,3,72.47856274778817,81.664,63.52456274778817,100.37556274778818,81.664,2,Large,2,LargeColossal
gabriela mistral,2029,4,72.43756274778818,81.664,62.76256274778817,100.66856274778817,81.664,2,Large,2,LargeColossal
gabriela mistral,2030,5,71.83756274778817,81.664,61.85856274778817,100.61156274778817,81.664,2,Large,2,LargeColossal
gabriela mistral,2031,6,72.47556274778817,81.664,61.82756274778818,100.08756274778817,81.664,2,Large,2,LargeColossal
gabriela mistral,2032,7,73.98956274778817,81.664,61.07756274778818,100.41456274778817,81.664,2,Large,2,LargeColossal
lomas bayas,2026,1,46.05469664998119,60.578,48.857696649981186,63.07069664998119,60.578,1,Medium,2,SmallMed
lomas bayas,2027,2,44.81769664998119,60.578,45.46569664998119,61.60769664998119,60.578,1,Medium,2,SmallMed
lomas bayas,2028,3,37.27669664998119,60.578,40.14269664998119,58.38469664998119,60.578,1,Medium,2,SmallMed
lomas bayas,2029,4,35.79869664998119,60.578,40.985696649981186,56.50369664998119,60.578,1,Medium,2,SmallMed
lomas bayas,2030,5,30.262696649981187,60.578,40.110696649981186,55.62369664998119,60.578,1,Medium,2,SmallMed
lomas bayas,2031,6,29.094696649981188,60.578,40.06169664998119,55.10269664998119,60.578,1,Medium,2,SmallMed
lomas bayas,2032,7,20.480696649981187,60.578,29.44169664998119,54.26569664998119,60.578,1,Medium,2,SmallMed
los bronces,2026,1,191.5520961134565,207.207,175.5870961134565,211.88309611345653,207.207,3,Colossal,2,LargeColossal
