Stat,ML,a_ss,a_sl,a_lc,Combined_WR,SM_WR,SM_MAPE,LC_WR
SARIMAX,ALL3,0.5,0.8,0.7,52.69461077844311,58.160237388724035,35.37576228019773,51.114922813036024
SARIMAX,ALL3,0.5,0.9,0.7,52.69461077844311,58.160237388724035,35.84560285637321,51.114922813036024
SARIMAX,ALL3,0.5,1.0,0.7,52.42847638057219,56.97329376854599,36.322896315211246,51.114922813036024
SARIMAX,ALL3,0.6,0.6,0.7,52.62807717897538,57.86350148367953,34.68759119941565,51.114922813036024
SARIMAX,ALL3,0.6,0.7,0.7,52.42847638057219,56.97329376854599,35.03645769516085,51.114922813036024
SARIMAX,ALL3,0.6,0.8,0.7,52.36194278110446,56.676557863501486,35.452283459698066,51.114922813036024
SARIMAX,ALL3,0.6,0.9,0.7,52.36194278110446,56.676557863501486,35.922124035873544,51.114922813036024
SARIMAX,ALL3,0.6,1.0,0.7,52.09580838323353,55.48961424332344,36.39941749471157,51.114922813036024
SARIMAX,ALL3,0.7,0.7,0.7,52.42847638057219,56.97329376854599,35.16270354906308,51.114922813036024
SARIMAX,ALL3,0.7,0.8,0.7,52.36194278110446,56.676557863501486,35.57852931360029,51.114922813036024
SARIMAX,ALL3,0.7,0.9,0.7,52.36194278110446,56.676557863501486,36.04836988977577,51.114922813036024
SARIMAX,ALL3,0.7,1.0,0.7,52.09580838323353,55.48961424332344,36.525663348613804,51.114922813036024
SARIMAX,ALL3,0.8,0.8,0.7,52.36194278110446,56.676557863501486,35.78408537579844,51.114922813036024
SARIMAX,ALL3,0.8,0.9,0.7,52.36194278110446,56.676557863501486,36.253925951973926,51.114922813036024
SARIMAX,ALL3,0.8,1.0,0.7,52.09580838323353,55.48961424332344,36.731219410811946,51.114922813036024
RollingMean,LGB,0.3,0.5,0.7,49.434464404524284,57.566765578635014,40.44541877909384,47.084048027444254
RollingMean,LGB,0.3,0.6,0.7,49.50099800399202,57.86350148367953,40.85363558440007,47.084048027444254
RollingMean,LGB,0.3,0.7,0.7,49.23486360612109,56.676557863501486,41.13879803918923,47.084048027444254
RollingMean,LGB,0.3,0.8,0.7,49.16833000665336,56.37982195845698,41.351109446190776,47.084048027444254
RollingMean,LGB,0.3,0.9,0.7,48.8356620093147,54.89614243323442,41.52535839687352,47.084048027444254
RollingMean,LGB,0.3,1.0,0.7,48.50299401197605,53.41246290801187,41.697920622748825,47.084048027444254
RollingMean,LGB,0.4,0.5,0.7,49.23486360612109,56.676557863501486,41.044505149919175,47.084048027444254
RollingMean,LGB,0.4,0.6,0.7,49.30139720558882,56.97329376854599,41.45272195522539,47.084048027444254
RollingMean,LGB,0.4,0.7,0.7,49.0352628077179,55.78635014836796,41.737884410014566,47.084048027444254
RollingMean,LGB,0.4,0.8,0.7,48.96872920825017,55.48961424332344,41.95019581701611,47.084048027444254
