Exp,Origin,Horizonte,ForecastYear,Mine,Actual,Pred,Naive_Pred,SARIMAX_Pred,Company_Size,Mine_Size,Origin_Prod,Model_Error,Naive_Error,Beats_Naive,MAPE,Is_Pandemic_Target,Is_Recovery_Target,Alpha_Mine
Ens_LC_3070,2014,5,2019,candelaria,111.4,132.36580451303612,134.70000000000002,130.19112404780353,1.0,2,,20.96580451303612,23.30000000000001,1,18.820291135397852,,,
Ens_LC_3070,2014,5,2019,capstone copper (4),86.3,99.81735943375105,104.2,98.25075122011255,0.0,2,,13.517359433751054,17.900000000000006,1,15.663220483335863,,,
Ens_LC_3070,2014,5,2019,centinela_centinela_sulfuros_,195.5,178.596776313616,180.7,180.7,1.0,2,,16.903223686383996,14.800000000000011,0,8.646150178988488,,,
Ens_LC_3070,2014,5,2019,centinela_centinela_óxidos_,81.10000000000001,94.43931984903665,93.8,96.12625975842296,1.0,2,,13.339319849036642,12.699999999999989,0,16.44798974667909,,,
Ens_LC_3070,2014,5,2019,cerro colorado,71.7,82.02540844918539,79.6,78.30623847535783,2.0,2,,10.325408449185389,7.8999999999999915,0,14.40084840331507,,,
Ens_LC_3070,2014,5,2019,chuquicamata,385.3,357.41477531884425,340.4,344.32450914740565,2.0,3,,27.885224681155762,44.900000000000034,1,7.237276046920063,,,
Ens_LC_3070,2014,5,2019,collahuasi,565.4,426.97719374592884,470.4,406.44191856529426,2.0,3,,138.42280625407113,95.0,0,24.482279096082127,,,
Ens_LC_3070,2014,5,2019,el abra,81.9,157.47191460986085,166.40000000000003,165.72106608262055,2.0,3,,75.57191460986084,84.50000000000003,1,92.27339888538076,,,
Ens_LC_3070,2014,5,2019,el teniente,459.7,467.32825059495025,455.5,453.0523838565669,2.0,3,,7.628250594950259,4.199999999999989,0,1.659397558920227,,,
Ens_LC_3070,2014,5,2019,escondida,1187.8,1163.2435534947213,1165.4,1176.64984421177,2.0,3,,24.5564465052787,22.399999999999864,0,2.067388995167941,,,
Ens_LC_3070,2014,5,2019,gabriela mistral,104.1,119.82090890589234,121.0,124.11221990818053,2.0,2,,15.720908905892344,16.900000000000006,1,15.101737516690653,,,
Ens_LC_3070,2014,5,2019,lomas bayas,78.9,62.75361457742996,66.4,56.506819424102964,2.0,2,,16.14638542257005,12.5,0,20.464366562644337,,,
Ens_LC_3070,2014,5,2019,los bronces,389.2000000000001,434.24895028696574,436.8999999999999,443.2151125968849,2.0,3,,45.048950286965635,47.69999999999982,1,11.574755953550376,,,
Ens_LC_3070,2014,5,2019,los pelambres,375.8999999999999,417.3150534896476,404.6,446.3984806369345,1.0,3,,41.415053489647676,28.700000000000102,0,11.01757206157807,,,
Ens_LC_3070,2014,5,2019,radomiro tomic,266.4,298.2183913769817,327.3,276.2311914522598,2.0,3,,31.818391376981708,60.900000000000034,1,11.943840562140881,,,
Ens_LC_3070,2014,5,2019,zaldivar,116.1,64.39943529805802,100.59999999999998,54.300562927183634,1.0,2,,51.70056470194197,15.500000000000014,0,44.53106309787368,,,
Ens_LC_3070,2014,6,2020,andina,184.5,232.79789832646316,232.40000000000003,232.39841436875312,2.0,3,,48.297898326463155,47.900000000000034,0,26.17772252828506,,,
Ens_LC_3070,2014,6,2020,candelaria,94.79999999999998,132.22010295665433,134.70000000000002,129.4770009385311,1.0,2,,37.42010295665435,39.900000000000034,1,39.47268202734972,,,
Ens_LC_3070,2014,6,2020,capstone copper (4),78.60000000000001,100.76027764737536,104.2,97.90707048156887,0.0,2,,22.160277647375352,25.599999999999994,1,28.193737106155194,,,
Ens_LC_3070,2014,6,2020,centinela_centinela_sulfuros_,153.5,178.19412143617186,180.7,180.7,1.0,2,,24.694121436171855,27.19999999999999,1,16.08737542364697,,,
Ens_LC_3070,2014,6,2020,centinela_centinela_óxidos_,93.3,93.41122356569842,93.8,96.12325292783338,1.0,2,,0.11122356569842395,0.5,1,0.11921068007107949,,,
Ens_LC_3070,2014,6,2020,cerro colorado,68.9,83.61058456777884,79.6,78.05566396583151,2.0,2,,14.710584567778838,10.699999999999989,0,21.350630412587133,,,
Ens_LC_3070,2014,6,2020,chuquicamata,400.7,359.8980878290645,340.4,344.4275915915517,2.0,3,,40.80191217093551,60.30000000000001,1,10.18265836513824,,,
